Categorie,Plat 1,Plat 2,Plat 3,Plat 4,Plat 5,Plat 6,Plat 7,Plat 8,Plat 9,Plat 10
Fast Food,Double cheese,nuggets,Frites,Potatoes,Kebab,Hot dog,Onion ring,Chicken-wing,beef sandwich,Tacos tripple
Fast Food,Tacos simple,Cheese burger,tenders,Veggie burger,Tender burger,Hamburger,pork sandwich,chicken sandwich,Panini poulet,Cheese fries
Fast Food,Fish burger,Chicken Wrap ,Bacon burger,The big burger,tacos double,Fish and chips,Falafel wrap,Salade ,sliders,burritos
Italien,Pizza 4 fromages,Pizza ananas,Pizza reine,Pizza chevre miel,Pizza anchois,Salade ceasar,raviolis,Pizza margherita,Pizza Calzone,Lasagne
Italien,Spaghetti carbonara,Spaghetti bolognaise,Spaghetti Alfredo,Spaghetti caponata,Spaghetti gorgonzola,Risotto alla Milanese,Panna cota,Affogato,Tagliatelle alla bolognese,Tortelinni in brodo
Italien,Tiramisu,Pizza regina,Pizza saumon,Pate Al pollo,Gniocci,Canelloni,Penne all’Arrabbiata,Foccacia,Caponata Siciliana,Bruschetta
Japonais,Tempura,Ramen,Udon,Gyoza,Onigri,Tendon,Yakitori,Gyudon,Tofu,Yakiniku
Japonais,Yakitori,Nigirisushi,Makisushi,Karé Raisu,Sashimi,Mochi,Matcha ice cream,Dorayaki,Sunomono,Nikujaga
Japonais,california roll,soba,soupe miso,Donburi,Taiyaki,Japanese Curry,Karaage,Oyakodon,Cold Ramen,Takoyaki
Chinois,Poulet impérial,Tofu Ma Po,Canard Laqué,Porc Laqué,Boullette de porc braisées,Poisson sauce aigre douce,Chao fan,Poulet citron,Map Doufu,Porc au caramel
Chinois,Raviolis vapeur,Nouilles sautées,Rouleaux de Printemps,hotpot,Porc Aigre-doux,Soupe de nouille chinoise,Boeuf et brocoli,Crevette sauce piquante,Légumes sautés,Riz gluant aux crevettes
Chinois,Riz contonais,Nems,Soupe Won ton,Bo bun,Boeuf sauté,Zongzi,Pigeon laqué,Poulet frit croustillant à la sauce piquante,Boeuf au poivre noir,Soupe aigre-piquante
Français,Foie gras,Cassoulet,Poulet basquaise,Escargot au beurre persillé,Moule frites,Blanquette de veau,Condit de canard,Salade niçoise,Pain perdu,crèmes brulées
Français,Gallettes bretonnes,Quiche lauraine,Raclette,Tartiflette,Fondue savoyarde,Îles flotante,Macarons,Soupe à l’oignon,Côte de boeuf,Hachis parmentier
Français,Fondue bourguignonne,Gratin dauphinois,Bouillabaisse,Ratatouille,Boeuf bourguigon,Piperade,Pot-au-feu,Steak au poivre,Tarte au citron meringué,Éclair au chocolat
Espagnol,Paella,Gaspacho,Calamares fritos,Pulpo a la gallega,Tortilla de patatas,calmars frits,crevettes à l'ail,poisson frit,Pimientos de Padrón ,Boqueron au vinaigre
Espagnol,Gambas Ajillo,Churros,Pescado Frito,Patats Bravas,Fabada,Espinacas con garbanzos,Empanada,Sardines grillées,creme catalane,Albóndigas
Espagnol,creme catalane,Torreznos,Cocido madrilène,Fuet,Carrillada,Huevos rotos,Pan con tomate,Escalivada,Salmorejo,
Marocain,Tajine de feftas,Baklava,Makrouts,Couscous boullette,cornes de gazelle,Tajine de poulet aux olives et citron confit,Couscous au poulet,Pastilla au poulet,Couscous aux légumes,Zaalouk
Marocain,Tajine d'agneau au tomate,Soupe aux pois chiches,Bricks au thon,Kadaifs,Chebakia,Salade marocaine ,Batbout,Tajine de poulet aux abricots secs,Tajine d'agneau aux légumes,Djej makalli
Marocain,Chorba,Taboulé,Mrouzia,Pastilla,Méchoui,Tajine de légumes,Sfenj,Krachel,Tanjia,Tajine de sardines à la chermoula
Indien,poulet tandoori,Poulet biryani,Curry de veau,Dhal,Curry de poisson ,Biryani de mouton,Vindaloo,Baingan bharta,Pakoras,Rogan josh
Indien,Samoussa,Chou-fleur au curry,Poulet à l'indienne,Bibinca,Riz à l'indienne,Kachumber,Gulab jamun,Gajar ka halwa,Aloo matar,Aloo palak
Indien,Curry de lentilles corail,Curry de poulet aux épices et légumnes,Curry de poulet aux épices et légumnes,Curry madras,Sauté de porc à l'indienne,Vada pav,Poulet tikka,Poulet tikka masala,Poulet korma,Chana masala
